Date,Open,High,Low,Close,Effective Date,Bank Rate,Repo,Reverse Repo,Standing Deposit Facility (SDF) Rate,Marginal Standing Facility (MSF) Rate,Cash Reserve Ratio (CRR),Statutory Liquidity Ratio (SLR)
2024-03-05,47265.70,47737.85,47196.75,47581.0,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-06,47451.65,48161.25,47442.25,47965.4,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-07,48035.80,48071.70,47747.20,47835.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-11,47792.20,47853.80,47230.65,47327.85,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-12,47351.35,47812.75,46884.45,47282.4,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-13,47341.15,47468.70,46842.15,46981.3,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-14,46825.75,47231.50,46565.55,46789.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-15,46572.10,46802.55,46310.50,46594.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-18,46458.75,46739.25,46022.15,46575.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-19,46421.90,46602.35,46258.75,46384.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-20,46392.90,46655.55,45828.80,46310.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-21,46674.85,46990.25,46570.15,46684.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-22,46634.90,46974.15,46566.80,46863.75,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-26,46552.95,46788.35,46529.05,46600.2,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-27,46643.45,46956.10,46643.45,46785.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-28,46827.85,47440.45,46827.85,47124.6,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-01,47391.05,47646.80,47373.10,47578.25,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
